,"Financial Year to
31 March 2020","Financial Year to
31 March 2021"
,,
Total energy consumption (KwH,"314,206","303,089"
Emissions from combustion of gas CO2e (Scope 1,"2,154",
"Emissions from combustion of fuel for transport purposes
(Scope 1)","3,203",
"Emissions from business travel in rental cars or
employee-owned vehicles where company is responsible
for purchasing the fuel (Scope 3)",N/A,N/A
based),"77,326","70,871"
Total gross CO2e based on above,"82,683","75,632"
"Intensity ratio: tCO2e gross figures based from
mandatory fields above as a ratio of EBITDA (£m","6,080","2,416"
Methodology,"Emission data has
been calculated
from fuel use
data","Emission data
has been
calculated from
fuel use data"
