,Year to 31 January ZUZ
ENERGY CONSUMPTION TO CALCULATE EMISSIONS,
as combustion Kilowatt Hours,"86,"
Purchased electricity kW!,"594,40"
Transport fuel* kW),"26,800"
Total enerev consumption kW,"507,200"
,
EMISSIONS,
"combustion t i O2e'
Purchased electricitv tCO.e (Scone 2. location-based)",
""
"Business travel in employee-owned vehicles where the company is
responsible for purchasing the fuel* tCO,e (Scope 3)",
"Total gross emissions tonnes CO,e",
,
NTENSITY RATIOS,
tCO2e per full-time equivalent,0.23
