Company Number,Date,Scope 1,Scope 2,Scope 3,Intensity,Total Emissions
00457936,2020,164121,224948,3455,,
00752082,2020,2961.49,1099.93,32074.74,0.47,
00895081,2020,,,,,
01083749,2019,1537.8,,,,
01949111,2021,9910130,9910130,9910130,9910130,
02343739,2019,,,,,
02686054,,,,,,
02831840,2020,,,,,
03185729,,943334,,,,
03203859,,172964.9,609872.8,162800.0,,
04924233,2020,,18964,,,
05158252,,,,246301,,
05438914,,,340.59,,193.5,3
06023243,2019,1608,895,,,
08031875,2019,,,,,
09696268,,158884.56,44.56,,,
10525811,,,,,,34450
11406455,2021,5357,77326,,4619,82683
11623468,2019,539194,1145704,,40.4,
12494300,,,,,,
1756144,,,,,383,
1872622,,0.0,45.56,45.56,0,
197807,,,,,,
199171,,,13197,0.42,,38128
2164993,,,,,,
2328559,2020,80896,730,,,81626
2594323,2019,0,1668,,0.065,
3015847,,,,,,
3017251,,,,,,
3411533,2019,762.88,1.3,389.05,0.022456,6887.22
3964307,2020,,,,,
4345197,,5016,,,,
4402085,,5016,,,,
443687,2020,7434238,10154275,524746,0.002,4084
4637868,2021,5357,,,6080,82683
5307204,2019,1642,3446,,340.2,5088
5445654,2020,,,,,
5640889,,,,,,
6016233,2021,5357,77326,,4725,
62270,,5016,,,,
6492265,,,,,,
6537773,2020,,,,,
7621282,,,,,,
7822956,2019,,,389.05,0.022456,6887.22
9704342,2020,80896,730,,,81626
9765635,,,,,1000,472
9894842,2020,13605439,3410091,,,
NI622516,,,,,,
OC304378,2021,1820728,4113343,137652,,
OC326165,,1621.33,,,0,
OC337852,,0,,,0.046,665
output,2020,,,,,
SC026924,,,,,,3241
