,"Financial Year to
31 March 2020","Financial Year to
31 March 2021"
,,
Total energy consumption (KWH,"314,206","303,089"
Emissions from combustion of gas kg CO2e (Scope 1,"2,154","4,761"
"Emissions from combustion of fuel for transport purposes
kg CO2e (Scope 1)","3,203",
"Emissions form business travel in rental cars or
employee-owned vehicles where company is responsible
for purchasing the fuel (Scope 3)",N/A,N/A
"Emissions from purchased electricity kg CO2e (Scope 2,
location-based)","77,326","70,871"
Total gross CO2e based on above,"82,683","75,632"
"Intensity ratio: tCO2e gross figures based from
mandatory fields above as a ratio of EBITDA (£m)","4,619","1,801"
Methodology,"Emission data has
been calculated
from fuel use
data","Emission data
has been
calculated from
fuel use data"
